NAME OF SERVICE,TRANSMISSION CATEGORY,FEATURED ARTIST,SOUND RECORDING TITLE,ALBUM TITLE,MARKETING LABEL,ISRC,ACTUAL TOTAL PERFORMANCES,PLAY FREQUENCY
BAGeL Radio,A,Mean Green, Mean Green (7-inch)  - Heaters,,,,124,1
BAGeL Radio,A,Armageddon Days (Are Here Again), Mind Bomb  - The The,,,,134,1
BAGeL Radio,A,Sun & Stars, Mind Renovation  - Dorsal Fins,,,,161,1
BAGeL Radio,A,Open Letter To Jenny, Morning Kills The Dark  - Biirdie,,,,113,1
BAGeL Radio,A,Ten Steps, Movements  - Black Tie Dynasty,,,,97,1
BAGeL Radio,A,Mr. Motivator, Mr. Motivator (single)  - IDLES,,,,111,1
BAGeL Radio,A,Kiss That Grrrl, My Best Friend Is You  - Kate Nash,,,,88,1
BAGeL Radio,A,Jesus Was Way Cool, Mystical Shit / Fluting On The Hump  - King Missile,,,,90,1
BAGeL Radio,A,Boys At The Bottom, Myth Is This  - Tiger High,,,,110,1
BAGeL Radio,A,Natural Affair, Natural Affair  - The Growlers,,,,93,1
BAGeL Radio,A,Nazi Punks Fuck Off, Nazi Punks Fuck Off (single)  - Dead Kennedys,,,,83,1
BAGeL Radio,A,Nearsighted, Nearsighted (single)  - Bad Bibles,,,,101,1
BAGeL Radio,A,I Loved You Then, Not Just Friends EP  - Loon Lake,,,,93,1
BAGeL Radio,A,Taste, Nowhere  - Ride,,,,76,1
BAGeL Radio,A,Liquify, Nude Casino  - Iguana Death Cult,,,,93,1
BAGeL Radio,A,"Welcome Home, Luc Robitaille", Ode to Ochrasy  - Mando Diao,,,,85,1
BAGeL Radio,A,Combat Baby," Old World Underground, Where Are You Now?  - Metric",,,,72,1
BAGeL Radio,A,Song Against Sex, On Avery Island  - Neutral Milk Hotel,,,,93,1
BAGeL Radio,A,The Genocide Ball, On Vacation (Disc 1)  - The Robot Ate Me,,,,87,1
BAGeL Radio,A,Dardanelles Part I, Over There That Way  - Heliotropes,,,,73,1
BAGeL Radio,A,Reggie Jackson, Parachutes Of Plenty  - Oceanography,,,,109,1
BAGeL Radio,A,Dying To Meet You (Tedit), Particles  - Mountains & Rainbows,,,,107,1
BAGeL Radio,A,Sliding Down A Ladder, Phooey!  - Latvian Radio,,,,95,1
BAGeL Radio,A,O'Chelles, Picture Us  - Money For Rope,,,,100,1
BAGeL Radio,A,In The Afternoon, Pillowfight  - Pillowfight,,,,104,1
BAGeL Radio,A,Vegan Sushi, Place Is  - kole&#380;anka,,,,91,1
BAGeL Radio,A,Vegan Sushi, Place Is  - koleżanka,,,,73,1
BAGeL Radio,A,Listening, Printer's Devil  - Ratboys,,,,93,1
BAGeL Radio,A,Low Era (Radio Edit), Projector  - Geese,,,,98,1
BAGeL Radio,A,Impossible Song, Pussycat  - Juliana Hatfield,,,,134,1
BAGeL Radio,A,Prism, Scandinavia  - RA,,,,89,1
BAGeL Radio,A,Big Star, September Gurls,,,,58,1
BAGeL Radio,A,Let Your Dog Tooth Grow, Silver Dollar Moment  - The Orielles,,,,101,1
BAGeL Radio,A,Eagulls, Skipping (radio edit),,,,64,1
BAGeL Radio,A,Sleep Well, Sleep Well  - Klubber Lang,,,,161,1
BAGeL Radio,A,Dumpweed, Slightly Smutty EP  - The Mavs,,,,94,1
BAGeL Radio,A,Awoo, Soft Animals EP  - Sofi Tukker,,,,94,1
BAGeL Radio,A,Every Kind of Way, Speakerzoid  - The Jungle Giants,,,,91,1
BAGeL Radio,A,Shadow Play, Spectrums  - Odonis Odonis,,,,85,1
BAGeL Radio,A,Lieutenant, Spells  - The Happy Hollows,,,,286,2
BAGeL Radio,A,Cool Comment, St. Vincent's (single)  - Deaf Wish,,,,142,1
BAGeL Radio,A,Under The Milky Way, Starfish  - The Church,,,,114,1
BAGeL Radio,A,Money, Sub Rosa  - Women Of The Night,,,,93,1
BAGeL Radio,A,Home (Radio Edit), Suddenly  - Caribou,,,,94,1
BAGeL Radio,A,Not Even Trying, Tainted  - Pink Turns Blue,,,,98,1
BAGeL Radio,A,You Still Mean Too Much To Me, Tainted  - Pink Turns Blue,,,,108,1
BAGeL Radio,A,End Times Daily, Tangled Heart [EP]  - Papercuts,,,,82,1
BAGeL Radio,A,Ride, Taste,,,,44,1
BAGeL Radio,A,Charity, Tell Me How You Really Feel  - Courtney Barnett,,,,119,1
BAGeL Radio,A,Suburban Depression, The American Dream EP  - The Foreign Resort,,,,166,1
BAGeL Radio,A,Sekwar, The Apple Drop  - Liars,,,,144,1
BAGeL Radio,A,Bone Dry, The Deconstruction  - Eels,,,,101,1
BAGeL Radio,A,You Can't Go Home Again, The Last Drag  - Tyler Keith,,,,97,1
BAGeL Radio,A,No Clone, The List  - The May Fire,,,,159,1
BAGeL Radio,A,Rome Wasn't Burned In A Day, The Lost Record  - Escape-ism,,,,124,1
BAGeL Radio,A,Biscuit Town, The OOZ  - King Krule,,,,90,1
BAGeL Radio,A,You Or Your Memory, The Sunset Tree  - The Mountain Goats,,,,99,1
BAGeL Radio,A,Getting Better (otherwise), The Turning Original Motion Picture Soundtrack  - The Aubreys,,,,142,1
BAGeL Radio,A,Witness Protection, The Witness  - SUUNS,,,,98,1
BAGeL Radio,A,This Ladder is Ours (radio edit), The Wolf's Law  - The Joy Formidable,,,,91,1
BAGeL Radio,A,Little Miss Pipedream," The Wombats Proudly Present..A Guide To Love, Loss and Desperation  - The Wombats",,,,115,1
BAGeL Radio,A,Return to Femmes, Time Itself  - Children Collide,,,,74,1
BAGeL Radio,A,Curse Of The Sun, Tired of Tomorrow  - NOTHING,,,,118,1
BAGeL Radio,A,A Little Hell, Touch The Sky  - Radical Face,,,,100,1
BAGeL Radio,A,Painted Window, Trinine  - Bailterspace,,,,89,1
BAGeL Radio,A,Betty, Turn You Out  - Pom Poms,,,,121,1
BAGeL Radio,A,Kitty Kat, Twist Party  - Los Straitjackets,,,,88,1
BAGeL Radio,A,Miley Cyrus Wins The Race, UPTIME!  - DTCV,,,,113,1
BAGeL Radio,A,Never Be The Same, Untethered Moon  - Built to Spill,,,,90,1
BAGeL Radio,A,Hospital Beds, Up In Rags  - Cold War Kids,,,,99,1
BAGeL Radio,A,Something Makes You Feel Like, Urban Turban  - Cornershop,,,,136,1
BAGeL Radio,A,Said Your Name, We Weren't Here  - Film School,,,,97,1
BAGeL Radio,A,Low, What Part of Me,,,,54,1
BAGeL Radio,A,Could You Wait 'til I've Had My Coffee ?," Why You Wanna Leave, Runaway Queen?  - Lisa LeBlanc",,,,114,1
BAGeL Radio,A,Shining, With Light and With Love  - Woods,,,,106,1
BAGeL Radio,A,Feel The Pain, Without A Sound  - Dinosaur Jr.,,,,133,1
BAGeL Radio,A,Giving Up On Love," Yeah, So?  - Slow Club",,,,96,1
BAGeL Radio,A,Mary Don't Go, Year Of The Spider  - Shannon And The Clams,,,,106,1
BAGeL Radio,A,California, onDeadWaves  - onDeadWaves,,,,134,1
BAGeL Radio,A,languid, these weeks should be remembered  - [the] caseworker,,,,108,1
BAGeL Radio,A,Water Liars,$100 -Phantom Limb,,,,161,1
BAGeL Radio,A,"The Good, The Bad & The Queen","'80's Life -The Good, The Bad & The Queen",,,,116,1
BAGeL Radio,A,The Magnetic Fields,'83: Foxx and I -50 Song Memoir,,,,104,1
BAGeL Radio,A,Birdmonster,'Cause You Can -No Midnight,,,,72,1
BAGeL Radio,A,Smashing Pumpkins,(Come On) Let's Go! -Zeitgeist,,,,144,1
BAGeL Radio,A,Jade Hairpins,(Don't Break My) Devotion -Harmony Avenue,,,,294,2
