NAME OF SERVICE,TRANSMISSION CATEGORY,FEATURED ARTIST,SOUND RECORDING TITLE,ALBUM TITLE,MARKETING LABEL,ISRC,ACTUAL TOTAL PERFORMANCES,PLAY FREQUENCY
BAGeL Radio,A,The Human Beinz,April 15th -Ah Feel Like Ahcid! &#8211; 30 American Psychedelic Artefacts From The EMI Vaults,,,,489,3
BAGeL Radio,A,The Human Beinz,April 15th -Ah Feel Like Ahcid! – 30 American Psychedelic Artefacts From The EMI Vaults,,,,356,3
BAGeL Radio,A,Harry Stafford and Marco Butcher,Arnold Layne -Bone Architecture,,,,68,1
BAGeL Radio,A,The Evens,Around The Corner -S/T,,,,114,1
BAGeL Radio,A,Body Type,Arrow -Arrow (single),,,,107,1
BAGeL Radio,A,I Have Nothing To Say To The Mayor Of L.A.,As Much As It Was Worth  - Dean Wareham,,,,215,2
BAGeL Radio,A,Dean Wareham,As Much As It Was Worth -I Have Nothing To Say To The Mayor Of L.A.,,,,504,5
BAGeL Radio,A,Manifesto [EP],Ashley  - Sprints,,,,247,2
BAGeL Radio,A,Sprints,Ashley -Manifesto [EP],,,,402,4
BAGeL Radio,A,Taylor Hollingsworth,Assasinate The President -Bad Little KItty,,,,73,1
BAGeL Radio,A,Thee Oh Sees,"At The End, On The Stairs -An Odd Entrances",,,,117,1
BAGeL Radio,A,The Raveonettes,Attack Of The Ghost Riders -Whip It On,,,,71,1
BAGeL Radio,A,Swervedriver,Autodidact -I Wasn't Born to Lose You,,,,110,1
BAGeL Radio,A,B Boys,Automation -Dudu,,,,112,1
BAGeL Radio,A,Audacity,Autumn -Butter Knife,,,,102,1
BAGeL Radio,A,Bear in Heaven,Autumn -Time Is Over One Day Old,,,,75,1
BAGeL Radio,A,Portastatic,Autumn Got Dark -Autumn Was A Lark,,,,89,1
BAGeL Radio,A,Courtney Barnett,Avant Gardener -The Double EP: A Sea of Split Peas,,,,114,1
BAGeL Radio,A,...And You Will Know Us By The Trail Of Dead,Awestruck -Lost Songs,,,,189,1
BAGeL Radio,A,Hockey Night,Axe Of Deliverance -SXSW 2005 Showcasing Artist,,,,162,1
BAGeL Radio,A,Doers,BODEGA-Broken Equipment,,,,100,1
BAGeL Radio,A,Coriky,BQM -Coriky,,,,223,2
BAGeL Radio,A,The Cavedogs,Baba Ghanooj -Joy Rides For Shutins,,,,102,1
BAGeL Radio,A,The Golden Dregs,Back Down The Mountain -Hope is for the Hopeless,,,,183,2
BAGeL Radio,A,Deerhunter,Back To The Middle -Monomania,,,,122,1
BAGeL Radio,A,Range Anxiety,Back to You  - Twerps,,,,375,3
BAGeL Radio,A,Twerps,Back to You -Range Anxiety,,,,82,1
BAGeL Radio,A,LSD And The Seach For God,Backwards -LSD And The Seach For God,,,,110,1
BAGeL Radio,A,Frightened Rabbit,Backyard Skulls -Pedestrian Verse,,,,117,1
BAGeL Radio,A,The Asteroids Galaxy Tour,Bad Fever -Fruit,,,,104,1
BAGeL Radio,A,Joan Jett,Bad Reputation -Joan Jett,,,,94,1
BAGeL Radio,A,Jace Everett,Bad Things  (The Theme From 'True Blood') -Bad Things (The Theme From 'True Blood'),,,,102,1
BAGeL Radio,A,Dead Ghosts,Bad Vibes -Automatic Changer,,,,134,1
